conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.90074E+18,Sat Mar 15 18:55:49 +0000 2025,10,@mohmahfudmd Pak apa tanggapan Bapak ttg revisi UU TNI disaat rakyat menjerit PHK dimana mana korupsi terbesar belum lagi penundaan CASN 2024. Katanya efesiensi Anggaran ehh wakil rakyat lagi asyik rapat dihotel mewah.,1.90098E+18,,mohmahfudmd,in,Indonesia,0,0,2,https://x.com/embk321/status/1900984294493045244,1.72082E+18,embk321
1.90097E+18,Sat Mar 15 18:00:53 +0000 2025,0,Disaat efesiensi anggaran anggota dewan sibuk rapat dihotel sedangkan rakyat banyak yg mengeluh di PHK ditambah pembatalan pengangkatan CASN 2024 yg mana itu adalah hak mereka dimana hati nuranimu @DPR_RI @prabowo @KemensetnegRI @Gerindra @gibran_tweet,1.90097E+18,,,in,Indonesia,0,0,0,https://x.com/embk321/status/1900970470817886551,1.72082E+18,embk321
1.90095E+18,Sat Mar 15 16:59:05 +0000 2025,0,Anggaran kena efesiensi tapi rapat di hotel TOLOL,1.90095E+18,,,in,,0,0,0,https://x.com/gyusgrip/status/1900954919315927546,1.02175E+18,gyusgrip
1.90066E+18,Sat Mar 15 16:56:22 +0000 2025,0,@BosPurwa @prabowo Efesiensi anggaran tapi DPR dan TNI rapat di hotel mewah Efesiensi ndasmu,1.90095E+18,,BosPurwa,in,,0,0,0,https://x.com/kawitah79/status/1900954234369307063,1.60365E+18,kawitah79
1.90094E+18,Sat Mar 15 16:21:27 +0000 2025,0,@tekarok007 Gimana bangsa ini lebih baik apalagi positif thinking pikirannya bibir saja belum kering ngomong efesiensi anggaran wakil rakyatnya malah rapat di hotel mewah. ,1.90095E+18,,tekarok007,in,Di Bawah Langit Ibukota,0,1,0,https://x.com/Pooohpitu7/status/1900945448636239899,1.36673E+18,Pooohpitu7
1.90092E+18,Sat Mar 15 16:09:16 +0000 2025,0,@barengwarga @KontraS Katanya efesiensi tapi rapatnya di hotel mewah. kalo beneran mau efesiensi anggaran di gacoan juga bisa murah lagi. #IndonesiaGelap #TolakRUUTNI #TolakDwifungsiABRI,1.90094E+18,,barengwarga,in,google chrome browser,0,0,0,https://x.com/pnjsptr_/status/1900942380653818269,205763811,pnjsptr_
1.90091E+18,Sat Mar 15 16:09:10 +0000 2025,0,@pangeransiahaan EFESIENSI anggaran,1.90094E+18,,pangeransiahaan,in,Republik Rakyat Reggae,0,0,0,https://x.com/Aksaplj/status/1900942356918284716,45775784,Aksaplj
1.90088E+18,Sat Mar 15 15:57:51 +0000 2025,0,@MurtadhaOne1 Efesiensi anggaran NDASMU https://t.co/yOiaIdwlRU,1.90094E+18,https://pbs.twimg.com/media/GmF-aIsaMAAg9n8.jpg,MurtadhaOne1,in,,0,0,0,https://x.com/DendraKen/status/1900939508109242845,1.54578E+18,DendraKen
1.90089E+18,Sat Mar 15 15:52:56 +0000 2025,0,@satriohendri Strategi efesiensi anggaran.,1.90094E+18,,satriohendri,in,Aceh indonesia,0,0,0,https://x.com/mundhri03180616/status/1900938273637495085,1.22285E+18,mundhri03180616
1.90093E+18,Sat Mar 15 15:25:07 +0000 2025,0,Para Anggota @DPR_RI. Waktu pemilu butuh suara rakyat giliran udah jadi diam-diam bikin UU di dalam ruangan hotel tanpa sepengetahuan rakyat. Efesiensi Anggaran Ndasmu !!!.,1.90093E+18,,,in,DI BUMI ALLAH,0,0,0,https://x.com/ARisnawan82/status/1900931270429077604,3719816714,ARisnawan82
1.90074E+18,Sat Mar 15 15:23:49 +0000 2025,0,@kumparan Efesiensi anggaran NDASMU https://t.co/wLSJ2qK1IF,1.90093E+18,https://pbs.twimg.com/media/GmF2nvNbcAEvMRv.jpg,kumparan,in,,0,0,0,https://x.com/DendraKen/status/1900930945903140966,1.54578E+18,DendraKen
1.90092E+18,Sat Mar 15 14:56:54 +0000 2025,1,Gimana rakyat mau percaya sama pemerintah yg katanya efesiensi anggaran eh malah rapat dihotel bintang 5. Lalu rapat digelar tertutup agar rakyat tidak bisa memantau apa yg akan diputuskan. #tolakruutni,1.90092E+18,,,in,,0,0,0,https://x.com/GIVG_SP/status/1900924172194509206,1.25786E+18,GIVG_SP
1.8933E+18,Sat Mar 15 14:43:27 +0000 2025,1,@Gyuvun DEGG pembahasannya kayaknya berat sekali ini dd? Udah bahas efesiensi anggaran aja! Boleh ya sini kakak bagi deh ini aja kakak udah mulai balas mention lagi. :3 setelah hampir seminggu cuma ngumpet di DM! Udah dapat jawaban dari grok belum dd?,1.90092E+18,,Gyuvun,in,Britons. ,0,0,0,https://x.com/Suizjy/status/1900920786153808184,707097319,Suizjy
1.90092E+18,Sat Mar 15 14:41:24 +0000 2025,0,Efesiensi anggaran 'ndasmu' rapat saja di hotel.,1.90092E+18,,,in,Di Bawah Langit Ibukota,0,0,0,https://x.com/Pooohpitu7/status/1900920270346740092,1.36673E+18,Pooohpitu7
1.9009E+18,Sat Mar 15 14:24:22 +0000 2025,1,@__AnakKolong PEJABAT MENTAL PENCURI .. Rapat diam diam di hotel mewah habiskan anggaran ..rakyat disuruh prihatin efesiensi .. ... GAK INGIN NIAT BUSUKNYA DI KETAHUI PUBLIK .. https://t.co/9IbC94OgJY https://t.co/RRhGsMXjF7,1.90092E+18,https://pbs.twimg.com/media/GmFpAhObcAUDGF0.jpg,__AnakKolong,in,,0,0,0,https://x.com/cuukdaniels/status/1900915981872230909,1.88016E+18,cuukdaniels
1.90088E+18,Sat Mar 15 14:04:02 +0000 2025,59,@MurtadhaOne1 Gimana ini pak @prabowo sampeyan sampai memotong anggaran pendidikan katanya demi efesiensi ini para anggota dHewan malah rapat di Hotel super mewah....Efesiensi Endasmu,1.90091E+18,,MurtadhaOne1,in,,0,1,10,https://x.com/abdulmukti691/status/1900910866184167462,1.60377E+18,abdulmukti691
1.90078E+18,Sat Mar 15 12:30:57 +0000 2025,0,@kompascom Efesiensi anggaran itu nyata atau cuma wacana . Kalau nyata harusnya rapat dilakukan di gedung Senayan bukan di hotel .,1.90089E+18,,kompascom,in,Bandar lampung,0,0,0,https://x.com/68Supriyono/status/1900887443597127778,2368881722,68Supriyono
1.90074E+18,Sat Mar 15 12:29:09 +0000 2025,0,@kumparan Inikah yg dinamakan efesiensi anggaran ... rapat dilakukan di hotel . Efesiennya dimana ? .,1.90089E+18,,kumparan,in,Bandar lampung,0,0,0,https://x.com/68Supriyono/status/1900886986828718082,2368881722,68Supriyono
